SR NO,POLICY NO,AGENT,PREMIUM(Rs),MODE,AGE,GENDER,M/ STATUS,DESIGNATION TYPE,TERM,PLAN TYPE,PAYMENT METHOD,STATUS
1,3.00001E+12,AG001226,"5,500",M,28,M,SINGLE,LABOUR,25,MEDICAL,ONLINE,Inforce
2,3.00021E+12,AG001226,"52,689",H,26,F,SINGLE,MIDDLE,30,MEDICAL,ONLINE,Inforce
4,3.0002E+12,AG001226,"12,812",M,36,M,SINGLE,MIDDLE,25,MEDICAL,ONLINE,Inforce
5,3.00011E+12,AG001226,"18,050",Y,45,F,MARRIED,HIGHER,20,INVESTMENT,ONLINE,Inforce
6,3.00017E+12,AG001226,"3,429",M,38,M,MARRIED,LOWER,22,PENSION,STO,Inforce
7,3.00009E+12,AG001226,"18,050",Y,42,M,MARRIED,HIGHER,20,INVESTMENT,ONLINE,Inforce
8,3.0002E+12,AG001226,"144,646",Y,36,M,MARRIED,HIGHER,25,MEDICAL,DIRECT PAY,Inforce
9,3.0002E+12,AG001226,"25,418",Y,23,M,SINGLE,HIGHER,20,MEDICAL,STO,Inforce
10,3.0002E+12,AG001226,"18,050",Y,53,F,MARRIED,HIGHER,15,INVESTMENT,STO,Inforce
11,3.0002E+12,AG001226,"18,050",Y,42,F,MARRIED,MIDDLE,15,INVESTMENT,DIRECT PAY,Inforce
12,3.00012E+12,AG001226,"14,090",Q,37,M,MARRIED,HIGHER,30,INVESTMENT,ONLINE,Inforce
13,3.0002E+12,AG001226,"7,387",M,21,M,SINGLE,HIGHER,30,MEDICAL,STO,Inforce
14,3.00003E+12,AG001226,"5,197",M,31,M,MARRIED,MIDDLE,18,EDUCATION,ONLINE,Inforce
15,3.00019E+12,AG001226,"28,240",M,41,M,DIVORCED,MIDDLE,30,MEDICAL,DIRECT PAY,Inforce
16,3.00019E+12,AG001226,"500,050",Y,54,M,MARRIED,HIGHER,21,INVESTMENT,CHEQUE,Inforce
17,3.00011E+12,AG001226,"12,712",M,32,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,Inforce
18,3.00018E+12,AG001226,"60,796",Y,34,M,SINGLE,HIGHER,28,MEDICAL,ONLINE,Inforce
19,3.00017E+12,AG001226,"71,125",Q,40,M,MARRIED,HIGHER,30,MEDICAL,STO,Inforce
20,3.00002E+12,AG001226,"5,769",M,35,M,MARRIED,MIDDLE,30,INVESTMENT,ONLINE,Inforce
21,3.00017E+12,AG001226,"187,812",Y,44,M,MARRIED,HIGHER,29,MEDICAL,ONLINE,Inforce
22,3.00017E+12,AG001226,"74,661",Y,37,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,Inforce
23,3.00016E+12,AG001226,"92,921",Y,30,M,MARRIED,MIDDLE,25,MEDICAL,ONLINE,Inforce
24,3.00016E+12,AG001226,"4,684",M,27,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,Inforce
26,3.00016E+12,AG001226,"10,048",M,31,M,SINGLE,HIGHER,30,MEDICAL,ONLINE,Inforce
27,3.00013E+12,AG001226,"12,713",M,39,M,MARRIED,HIGHER,30,MEDICAL,STO,Inforce
28,3.00015E+12,AG001226,"21,740",Q,49,M,MARRIED,MIDDLE,10,PROTECTION,ONLINE,Inforce
29,3.00014E+12,AG001226,"5,344",M,37,F,SINGLE,MIDDLE,30,MEDICAL,ONLINE,Inforce
30,3.00014E+12,AG001226,"18,770",Y,35,M,MARRIED,MIDDLE,18,EDUCATION,STO,Inforce
31,3.00014E+12,AG001226,"5,012",M,59,F,MARRIED,HIGHER,17,INVESTMENT,STO,Inforce
32,3.00014E+12,AG001226,"6,659",M,39,M,MARRIED,HIGHER,17,EDUCATION,DIRECT PAY,Inforce
33,3.00014E+12,AG001226,"11,379",Q,37,M,SINGLE,MIDDLE,24,PENSION,DIRECT PAY,Inforce
34,3.00013E+12,AG001226,"6,771",M,29,F,MARRIED,MIDDLE,30,MEDICAL,ONLINE,Inforce
35,3.00014E+12,AG001226,"128,081",Y,37,M,MARRIED,HIGHER,16,EDUCATION,ONLINE,Inforce
36,3.00013E+12,AG001226,"100,050",Y,44,M,MARRIED,HIGHER,30,INVESTMENT,STO,Inforce
38,3.00012E+12,AG001226,"5,687",M,47,F,MARRIED,HIGHER,15,PENSION,ONLINE,Inforce
39,3.00012E+12,AG001226,"28,790",Y,36,M,SINGLE,HIGHER,30,MEDICAL,ONLINE,Inforce
41,3.00011E+12,AG001226,"15,500",M,57,F,MARRIED,HIGHER,20,INVESTMENT,STO,Inforce
42,3.00011E+12,AG001226,"75,050",Y,37,M,MARRIED,HIGHER,30,INVESTMENT,ONLINE,Inforce
44,0016192200502,AG001226,"30,035",Q,42,F,MARRIED,MIDDLE,15,INVESTMENT,DIRECT PAY,Inforce
45,3.0001E+12,AG001226,"6,076",M,37,M,MARRIED,MIDDLE,20,MEDICAL,STO,Inforce
46,3.00009E+12,AG001226,"5,841",M,34,M,MARRIED,MIDDLE,30,MEDICAL,DIRECT PAY,Inforce
48,3.00009E+12,AG001226,"122,463",Y,40,M,MARRIED,HIGHER,25,MEDICAL,STO,Inforce
49,3.00009E+12,AG001226,"20,027",M,47,M,MARRIED,HIGHER,30,INVESTMENT,CHEQUE,Inforce
50,3.00009E+12,AG001226,"36,014",Q,42,M,MARRIED,HIGHER,30,MEDICAL,ONLINE,Inforce
51,3.00007E+12,AG001226,"6,013",M,39,M,MARRIED,HIGHER,30,INVESTMENT,STO,Inforce
54,3.00006E+12,AG001226,"5,000",M,37,M,MARRIED,MIDDLE,30,PROTECTION,ONLINE,Inforce
55,3.00006E+12,AG001226,"10,017",M,24,F,SINGLE,HIGHER,30,INVESTMENT,STO,Inforce
56,3.00006E+12,AG001226,"4,127",M,46,F,SINGLE,MIDDLE,30,MEDICAL,STO,Inforce
57,3.00005E+12,AG001226,"82,046",H,48,M,MARRIED,HIGHER,30,MEDICAL,STO,Inforce
58,3.00004E+12,AG001226,"9,493",M,30,F,SINGLE,MIDDLE,30,MEDICAL,STO,Inforce
59,3.00005E+12,AG001226,"6,405",M,32,M,MARRIED,MIDDLE,30,MEDICAL,STO,Inforce
62,3.00004E+12,AG001226,"10,632",M,48,F,MARRIED,HIGHER,26,MEDICAL,DIRECT PAY,Inforce
66,3.00004E+12,AG001226,"39,595",Y,51,F,MARRIED,LOWER,17,PENSION,DIRECT PAY,Inforce
67,3.00003E+12,AG001226,"6,958",M,31,M,MARRIED,MIDDLE,30,MEDICAL,ONLINE,Inforce
68,0016464802801,AG001226,"3,067",M,27,M,SINGLE,MIDDLE,30,INVESTMENT,ONLINE,Inforce
74,3E+12,AG001226,"24,204",Q,25,M,SINGLE,HIGHER,20,MEDICAL,ONLINE,Inforce
76,0010904107302,AG001226,"36,970",H,35,M,MARRIED,MIDDLE,27,MEDICAL,STO,Inforce
77,0013835908602,AG001226,"38,919",Y,31,M,SINGLE,MIDDLE,28,MEDICAL,DIRECT PAY,Inforce
78,0017007609301,AG001226,"3,845",M,27,F,SINGLE,LOWER,22,INVESTMENT,DIRECT PAY,Inforce
80,0001387903302,AG001226,"31,517",H,49,F,MARRIED,MIDDLE,15,PENSION,DIRECT PAY,Inforce
81,0012328907302,AG001226,"5,012",M,30,M,SINGLE,MIDDLE,30,INVESTMENT,STO,Inforce
82,0016061809602,AG001226,"3,410",M,45,F,MARRIED,LOWER,14,PROTECTION,DIRECT PAY,Inforce
83,0012328906402,AG001226,"5,012",M,26,M,SINGLE,MIDDLE,30,INVESTMENT,STO,Inforce
84,0008084000302,AG001226,"5,984",M,38,M,MARRIED,MIDDLE,30,PROTECTION,STO,Inforce
88,0016339507601,AG001226,"2,451",M,29,F,SINGLE,MIDDLE,15,INVESTMENT,STO,Inforce
